325 682
96 55 26
102 122 -424
114 53 817
40 267 -392
253 113 57
203 293 251
115 6 82
132 9 400
152 151 -863
72 75 -824
321 83 -270
324 170 -201
40 301 884
12 248 -676
35 197 312
195 134 10
186 161 -295
279 74 -527
18 21 490
303 272 -765
143 46 -23
171 12 -60
293 113 758
215 58 729
261 102 164
191 104 -749
232 49 -511
102 95 427
106 23 -844
309 113 501
177 253 349
172 144 225
302 179 579
226 61 -880
130 94 758
308 72 747
259 263 643
200 225 145
44 46 -237
218 234 -81
169 1 -444
89 192 636
298 40 -684
143 209 412
246 253 906
160 43 -380
135 174 -782
11 101 -772
154 153 25
164 260 783
92 257 -404
181 6 -920
138 176 986
103 193 -124
44 97 961
65 297 -753
61 193 44
82 207 14
39 150 126
270 218 439
86 77 -676
115 153 -648
80 6 273
125 36 982
48 107 -916
96 152 557
254 40 -804
139 94 -134
151 80 -443
243 63 845
238 79 547
127 52 547
56 256 68
278 113 742
97 128 -931
35 40 -825
278 93 -438
178 204 86
87 233 -909
258 24 950
33 51 -301
138 63 -966
76 226 943
20 268 914
42 170 -7
189 104 753
184 106 -99
146 88 -229
294 16 -489
267 298 -1000
5 209 595
103 129 800
139 312 -300
116 75 233
139 238 -797
151 298 -783
161 262 85
294 40 -423
15 119 358
17 112 -801
227 205 12
318 292 -61
181 205 -398
20 185 -54
299 72 -656
3 137 -591
257 55 -230
134 175 516
81 4 30
210 173 -866
30 86 -373
11 263 -356
292 206 9
74 229 64
236 219 -656
15 62 -70
151 93 -650
198 241 -508
263 307 860
185 122 86
250 227 52
75 199 -807
87 311 205
47 156 794
147 284 88
296 178 798
132 53 -708
203 234 -617
221 4 -530
244 112 -902
55 218 -750
134 186 711
285 55 -498
254 63 -214
257 286 -617
273 226 348
165 91 -30
240 242 -911
313 257 -593
245 310 455
32 193 995
277 186 -42
304 33 -567
214 15 333
95 323 557
31 163 -723
296 208 -409
127 298 55
39 32 -527
171 43 -280
181 45 -5
220 101 393
247 18 527
184 235 504
75 172 215
46 168 149
87 22 -9
112 280 -659
178 269 -599
81 132 404
201 296 -615
282 309 295
61 265 408
234 46 288
63 26 -915
213 12 -737
168 34 -502
240 145 -893
249 242 986
224 301 468
239 169 -36
159 147 626
108 40 -243
41 309 -54
9 44 688
145 107 796
163 170 -650
18 211 246
181 135 -72
184 128 -197
302 176 573
206 305 700
286 172 -854
282 114 392
170 206 -196
20 212 349
288 109 765
134 144 269
271 196 257
294 276 701
2 59 -302
252 269 -447
222 317 -331
133 275 -426
8 19 189
133 150 -506
195 186 -490
251 322 10
179 33 991
139 70 619
248 32 -631
288 86 -507
74 208 661
108 185 429
77 31 -53
72 150 -672
279 304 -716
100 301 475
309 180 237
245 135 200
54 322 161
197 265 373
151 22 -961
43 15 285
16 209 -551
34 264 -446
16 214 269
226 105 378
81 220 -656
155 77 585
291 211 811
58 63 -730
253 269 294
24 291 488
319 263 581
43 174 -317
140 164 118
39 311 -246
179 88 490
60 235 -349
225 239 -792
305 37 -511
202 195 420
6 259 -295
313 140 -219
209 94 -896
180 82 925
124 192 640
145 286 -90
100 85 113
165 213 735
126 156 601
315 253 -532
90 221 -539
22 291 733
248 59 9
164 10 871
155 102 303
205 290 691
50 287 -818
138 302 -194
132 16 -916
325 204 1000
204 170 972
67 73 -567
117 61 -784
196 147 -750
74 23 478
92 260 -789
224 78 -652
163 174 441
249 18 448
120 19 -518
256 59 -191
55 264 383
325 2 -872
196 25 513
83 136 344
59 100 672
4 30 492
317 115 -34
172 186 918
135 165 929
149 277 633
177 297 7
103 16 275
72 310 574
117 237 -429
128 225 -934
278 184 121
137 254 702
303 70 201
184 53 -883
101 159 398
125 158 936
154 262 -56
58 54 785
217 30 -531
69 94 303
1 107 -22
237 242 27
144 293 575
10 256 816
286 12 -398
195 69 594
293 184 -762
181 236 -465
4 89 928
83 230 649
252 66 -741
190 113 754
171 214 321
280 100 557
90 102 445
4 179 986
227 151 214
311 292 -161
297 101 -64
204 50 -724
117 287 -652
266 154 -748
199 302 -790
20 156 760
13 161 383
51 150 257
320 119 -425
73 297 254
279 251 -184
159 113 741
55 246 -965
224 127 742
200 70 217
189 219 -724
81 290 -279
10 103 -495
44 51 755
302 93 -225
173 165 -934
215 1 886
187 29 356
136 305 -19
265 177 -31
299 277 7
18 106 798
164 217 -276
100 317 -471
16 59 57
196 184 976
231 175 548
301 88 -570
92 128 -292
40 214 249
165 189 673
2 322 -493
73 217 -909
307 192 641
92 188 -459
299 29 -729
221 276 -310
262 15 507
75 271 -565
89 98 -375
158 23 -613
224 198 589
194 150 -993
237 157 -815
122 104 683
129 278 -646
193 195 158
280 130 -385
46 79 480
28 242 -527
63 94 748
319 2 463
260 236 274
39 9 -403
102 189 -731
110 259 898
96 168 824
260 132 244
21 121 -620
297 91 -894
181 145 -901
81 111 596
275 86 -603
247 193 307
164 196 808
128 220 454
195 248 -291
25 236 -157
135 117 -717
27 186 100
173 304 879
58 214 586
173 54 -702
176 7 -449
172 304 -534
39 236 990
203 128 -823
183 270 -618
23 247 -648
7 12 801
128 99 13
95 255 -567
178 236 -706
34 7 -634
190 79 294
313 41 509
33 52 583
239 235 696
218 109 -663
262 28 -769
140 208 -957
193 296 -983
322 208 -366
323 123 -269
313 307 -946
156 183 -896
277 94 -286
219 84 -300
104 190 -509
179 294 -550
299 147 565
253 207 -362
145 284 169
233 62 -639
45 239 -639
82 81 863
41 163 -292
143 120 -80
298 42 497
191 33 217
202 221 986
50 73 571
9 318 -102
11 183 -586
20 158 982
258 117 -446
8 53 950
309 104 -279
248 120 -201
318 111 720
104 263 514
179 138 -816
172 305 940
295 292 -966
25 240 -326
87 39 -984
189 240 829
218 63 790
180 194 -527
274 213 412
241 247 394
17 259 668
81 284 73
14 68 682
46 224 -882
63 18 -618
27 99 24
93 92 -600
103 208 357
203 317 -801
169 201 -956
257 302 -339
221 106 -580
59 191 739
25 231 647
57 194 -338
88 195 -169
131 81 -134
322 8 -508
297 123 -120
98 269 84
3 87 -770
114 179 -478
56 75 -333
142 215 -401
145 32 906
132 46 585
109 9 915
174 280 -479
137 118 -471
156 261 392
224 321 412
230 70 -567
220 303 -498
24 232 325
183 152 -111
270 3 -2
204 175 -353
182 258 601
226 79 115
121 80 -722
222 158 504
282 315 898
1 34 -944
204 262 717
292 106 417
297 174 435
312 67 -627
10 2 337
10 26 -153
1 3 -197
293 146 -60
266 298 598
248 290 359
207 1 -128
311 304 707
237 47 -189
230 169 914
244 119 -572
313 97 -891
283 131 -150
195 253 134
234 125 996
137 116 -525
203 70 741
108 121 -729
303 209 817
72 325 566
276 272 568
148 73 32
220 277 255
219 71 415
87 57 -346
223 217 -953
31 1 -935
112 270 222
24 33 -681
238 22 -959
106 133 -705
4 93 -531
243 105 835
2 16 855
141 42 134
17 54 991
5 142 -409
258 241 -168
297 47 803
22 103 -877
80 38 559
302 109 -589
151 220 -555
19 53 147
45 243 -956
86 307 -152
183 55 751
230 122 -179
63 213 -550
90 46 28
124 207 -91
12 53 -697
211 296 575
1 178 315
116 68 655
164 322 607
238 232 -921
319 44 -372
215 309 291
208 263 583
69 259 -412
120 307 639
177 92 574
144 161 804
308 114 -921
20 113 955
198 136 103
236 134 63
52 23 277
135 21 -939
104 295 -654
113 72 -598
19 39 197
70 213 -982
21 222 4
45 241 879
40 66 -176
279 32 -957
219 22 576
43 121 -554
197 122 -175
99 269 -340
302 58 733
171 140 665
46 309 -46
161 135 455
26 256 -642
197 208 -530
47 303 519
121 311 -829
116 71 -25
149 108 349
96 109 -809
154 102 278
130 129 -434
172 224 319
25 316 -92
14 55 784
214 24 -448
149 228 464
47 18 759
169 30 706
195 124 57
136 325 256
268 63 -566
190 212 -876
73 175 344
268 277 960
118 184 905
113 191 -172
70 245 291
18 76 -916
296 265 -768
63 192 -887
177 206 236
312 324 385
188 254 427
39 126 698
153 81 203
242 196 -777
72 30 -518
139 246 995
138 137 -385
199 325 -915
302 46 89
197 276 -812
174 213 550
154 260 413
2 210 -150
214 139 255
215 59 -422
79 164 146
250 4 504
28 150 576
305 214 356
18 165 922
121 190 -89
220 181 -379
113 17 666
156 212 42
307 219 -656
60 139 947
245 225 -898
111 108 459
50 77 90
166 248 -667
247 8 27
317 132 280
270 46 137
268 3 -903
252 247 -533
254 322 -591
137 268 -708
157 222 467
78 193 -914
285 222 -735
119 138 -949
247 298 -144
322 205 -247
75 139 538
70 313 885
222 267 -696
265 238 717
275 11 -132
226 4 -218
321 178 692
68 168 225
146 265 827
98 268 185
55 42 -114
2 272 -637
73 16 -916
260 99 174
207 129 -960
2 247 262
24 124 301
213 178 178
33 237 -263
62 209 704
292 150 606
257 197 311
89 237 -305
146 61 958
267 66 493
163 213 -572
278 84 49
