1000 9999
753 459 35
502 716 -507
155 281 -280
493 311 102
816 47 -985
474 499 -510
449 333 -980
408 152 771
680 655 380
661 702 447
392 623 21
538 691 -721
508 675 622
69 471 89
559 230 756
223 292 -134
749 496 70
187 176 122
234 162 229
51 10 -986
352 800 805
347 668 269
770 47 -944
173 367 -907
766 375 -145
429 679 -46
54 666 -993
749 179 813
989 434 -570
18 235 -88
439 120 -961
840 77 -548
575 263 -282
359 620 785
724 148 -380
818 839 326
960 991 -968
835 917 -543
192 382 -346
249 931 137
660 986 -550
666 398 -269
483 413 359
478 105 -153
947 462 417
103 43 -831
580 997 601
773 454 -608
488 556 699
1 37 -340
39 832 -333
673 413 682
146 230 693
986 407 -469
78 137 -110
162 612 843
606 239 528
984 44 695
526 65 -629
141 753 512
233 466 -164
969 702 -786
849 446 -570
281 360 -986
189 335 765
805 853 -989
510 787 757
461 541 -610
1 212 585
84 231 -298
634 964 839
488 509 -721
176 422 245
251 711 -876
997 385 -724
170 295 -406
23 974 904
875 843 972
20 494 -583
101 822 191
826 852 -131
442 533 593
911 482 727
181 94 553
15 430 -49
884 491 -917
271 566 -754
332 537 -556
238 504 -345
936 104 741
216 29 758
943 630 471
390 440 -147
923 561 700
45 430 697
848 698 -1000
169 245 72
837 480 963
638 130 74
174 391 -259
33 631 -291
289 511 -791
728 117 -681
495 395 -719
8 676 -690
871 295 875
241 194 -297
907 882 95
717 765 291
843 380 -915
276 51 951
718 551 -848
401 340 -539
700 652 -930
259 528 -104
451 304 858
708 41 -715
286 765 31
147 835 968
613 217 -212
805 149 -196
646 579 0
604 916 -41
579 394 261
440 370 -528
902 92 -750
737 587 -160
454 283 861
108 424 12
129 171 72
845 837 -571
345 900 -833
468 47 -393
187 649 -945
990 21 -942
809 790 398
655 318 -330
648 830 316
847 23 -867
806 824 -69
485 314 -849
550 890 124
83 343 -949
409 574 937
932 17 -348
933 146 410
929 996 639
612 102 -742
606 305 -692
847 717 249
892 178 709
7 18 -610
259 538 -533
424 446 671
233 148 -254
703 907 -287
307 70 -131
67 105 -506
433 121 60
511 397 366
724 919 -69
412 420 -838
747 65 -296
177 330 -46
823 942 -69
969 794 33
122 320 -778
793 391 588
996 177 513
738 354 -162
357 172 887
280 826 355
335 741 -836
191 847 686
787 742 954
803 39 -976
726 799 -854
774 5 -108
22 992 315
573 944 -734
766 318 619
798 513 251
677 482 672
203 362 -745
525 613 626
859 197 -347
514 122 -728
639 462 -943
49 971 -903
548 628 777
246 984 -696
260 8 536
347 219 -496
263 116 -124
164 440 -446
137 283 441
964 510 329
775 595 -249
74 813 640
104 485 -285
821 303 37
401 57 196
289 535 -28
980 676 -178
241 297 -502
138 949 179
723 244 523
731 403 -234
708 80 465
141 781 -218
661 369 -714
911 368 -694
966 519 -457
499 970 940
998 340 -407
54 490 -468
922 834 -851
19 745 869
883 178 861
265 420 944
478 6 452
241 775 71
732 223 798
578 248 11
915 751 -99
838 832 -328
39 57 -834
698 685 771
592 960 -803
852 991 -282
718 404 676
987 893 129
125 875 420
451 43 -922
783 718 -308
721 98 -393
736 459 977
546 197 85
452 331 -690
64 486 -11
956 147 161
396 187 -837
424 465 -96
198 841 -891
92 968 997
251 616 740
585 464 -473
188 603 300
517 876 -204
574 940 639
216 90 -239
485 2 966
820 577 812
784 602 -30
683 408 298
385 485 -944
306 398 -107
414 226 67
780 354 114
900 14 427
575 537 96
153 992 282
177 813 860
1 424 740
547 666 -277
518 179 455
154 982 174
992 656 423
354 708 -429
550 531 47
656 41 -112
611 38 -149
104 204 -371
815 871 -955
36 854 -97
352 168 -508
104 642 779
521 220 814
518 750 716
776 209 -945
869 595 29
963 800 -632
791 784 -202
201 795 -520
302 494 949
987 258 288
920 851 261
763 794 657
471 274 879
488 140 574
675 896 -886
512 542 -818
740 975 -713
467 919 452
119 581 -309
700 288 657
272 497 680
494 302 -1000
779 922 -811
89 846 0
647 15 658
283 565 300
556 682 -527
28 979 827
689 292 700
47 620 929
735 474 -639
447 862 -520
533 630 -761
257 710 -56
770 165 -237
540 474 778
526 601 -65
615 886 682
225 208 821
941 92 422
344 703 -13
515 214 -928
402 260 -372
337 976 -856
319 617 -578
998 83 -575
52 424 -127
539 290 -274
427 412 593
623 441 -419
963 936 -353
687 56 828
102 855 -222
268 181 -12
244 542 127
855 468 -759
463 431 107
837 614 -128
912 325 617
139 882 680
983 38 -848
347 906 601
300 559 123
622 379 -337
272 799 639
232 401 800
546 989 300
428 723 -405
797 519 -461
155 293 -765
80 904 119
793 541 574
208 329 964
671 417 392
168 765 -311
808 305 643
772 270 -921
886 911 93
74 765 -329
655 635 10
702 722 -450
582 788 839
427 49 944
937 233 706
574 856 -154
417 147 500
161 493 142
999 821 -214
979 759 4
365 130 -898
633 351 680
773 390 -698
856 384 57
704 449 398
168 872 283
468 663 -126
166 834 580
401 556 -817
791 517 -842
955 269 -177
106 289 -1
282 188 12
475 274 -876
476 590 -924
425 504 891
719 906 -15
954 342 -369
256 816 202
480 658 829
977 642 -317
507 80 -241
274 653 272
397 512 579
513 111 -637
857 833 258
532 670 153
736 523 897
226 777 295
80 593 -578
960 68 568
666 5 -642
915 737 6
102 803 -541
905 449 353
77 28 -723
900 904 814
816 980 -392
378 929 -97
265 392 -43
266 121 -96
849 812 -827
651 20 909
324 210 423
728 660 929
829 126 -82
956 899 239
91 243 -641
488 517 29
812 64 433
341 679 52
669 796 933
637 432 -529
891 299 -401
899 219 -180
829 936 549
969 213 966
691 323 583
15 438 450
960 241 882
94 140 -106
51 95 639
701 234 11
667 412 35
365 303 -575
215 226 284
377 709 812
338 985 796
443 736 -689
926 299 55
458 63 820
205 361 764
101 489 580
334 288 -810
850 858 -691
134 698 -310
856 50 -970
208 470 -302
938 294 -665
591 32 -93
594 866 -402
282 317 -943
287 354 -864
239 116 -585
171 574 -229
728 720 467
914 155 -492
873 243 -497
100 892 830
884 393 -920
785 944 249
129 298 -766
250 916 247
497 927 593
98 670 -379
400 328 714
35 301 385
152 685 798
681 99 -543
204 201 395
395 724 -752
848 996 822
207 110 516
862 78 -114
305 409 757
806 332 -595
464 677 -566
977 643 287
93 638 866
847 986 -872
515 47 408
287 43 -624
223 477 980
651 148 417
857 474 294
560 330 287
997 173 281
541 276 -471
735 854 470
225 909 -643
642 922 -950
29 500 -492
751 38 -663
842 699 -604
831 308 375
519 1 -220
998 898 -659
159 392 403
386 697 976
345 559 -256
595 854 25
692 288 366
770 115 129
466 284 646
324 598 102
926 837 -825
134 936 879
985 847 888
318 97 -873
503 47 829
452 386 839
24 694 839
537 485 615
622 269 -664
521 99 91
36 970 -97
179 669 -24
894 844 -577
240 355 576
498 668 -762
707 49 694
411 657 -31
980 564 898
445 406 -860
752 631 236
717 747 137
694 37 -699
167 706 -414
576 304 32
870 312 615
571 369 718
291 65 -279
641 613 -26
340 944 -677
233 92 -432
605 858 -7
392 272 214
542 9 455
998 410 -605
358 827 774
107 964 -776
809 18 -473
859 774 163
182 989 -823
29 871 943
249 177 -282
869 985 987
522 197 979
50 366 -798
231 998 -350
539 859 -998
192 387 -528
755 768 864
74 240 -26
963 497 -338
701 76 -364
231 791 541
184 595 -403
215 790 998
869 724 -911
448 460 463
287 4 998
100 895 721
741 419 438
851 268 -984
948 614 -483
336 223 -566
616 899 235
651 726 -404
98 666 -687
862 803 -76
804 519 833
369 217 112
555 741 790
987 438 911
887 112 -736
882 464 -271
161 90 556
738 362 961
353 847 767
221 442 282
571 188 495
294 789 -293
475 249 -780
630 199 404
745 558 770
699 916 -452
475 623 459
395 249 659
244 206 426
441 203 -788
797 307 -206
219 900 877
391 982 541
753 861 -528
355 657 721
581 303 -204
984 585 430
62 148 303
604 509 -459
765 175 -140
991 439 650
656 814 298
442 349 -945
638 254 641
593 76 544
992 672 328
529 813 314
544 893 -994
581 364 424
363 524 -177
640 993 -12
189 35 753
580 448 155
148 196 33
660 149 -254
765 437 607
956 198 -615
735 899 -809
831 56 -547
129 877 -480
995 135 -939
271 751 827
515 210 -148
7 534 -526
634 376 721
719 128 401
360 815 -242
7 747 -18
222 76 540
926 212 251
954 670 -966
32 774 680
167 526 -917
315 650 -212
776 434 -487
224 24 -189
545 511 450
664 634 70
931 885 946
169 785 -405
652 68 566
6 739 822
772 352 990
814 605 77
64 777 946
420 277 924
284 192 -538
645 505 -132
938 395 -402
355 359 391
323 147 -809
657 15 -537
614 311 905
665 824 658
121 933 742
357 91 -516
487 483 502
107 777 -709
522 949 -811
29 418 -267
115 377 -171
849 862 -592
333 855 -153
129 689 360
138 423 154
143 564 -483
874 286 174
388 185 942
451 950 830
235 82 121
322 140 169
227 29 -200
619 978 185
341 523 493
138 148 -984
647 768 380
485 95 405
400 735 134
287 123 -824
867 920 -797
798 168 -523
722 133 -804
207 921 -730
443 283 -691
948 336 773
512 711 173
71 858 -452
345 501 -23
477 276 813
125 971 645
393 164 989
925 716 857
912 767 -274
845 717 -911
815 336 243
106 128 892
956 782 806
194 464 -945
175 318 -306
664 825 -85
800 160 683
235 231 208
657 128 381
898 451 233
588 525 820
409 386 71
962 305 -246
646 414 -704
79 991 -883
176 613 -737
59 595 -48
820 895 -59
3 49 -878
320 518 192
88 720 -934
53 783 -898
757 528 565
363 447 956
76 706 -383
612 875 -207
746 462 -364
150 670 270
744 433 332
917 457 -273
227 252 -72
961 360 -904
731 199 102
951 856 -186
541 869 -425
64 753 -384
470 803 -17
939 774 698
145 335 -162
310 772 812
123 991 986
780 688 167
41 149 140
706 243 -828
46 624 194
543 876 373
765 433 -942
248 337 885
14 68 344
287 837 688
838 889 -181
829 901 -360
582 55 -6
466 85 -596
790 150 702
7 800 -700
706 485 114
810 658 -587
954 652 -13
903 921 -224
902 22 711
179 15 219
47 555 240
594 177 598
51 954 734
582 607 -173
167 32 500
353 476 958
564 522 -308
862 875 215
131 432 -420
561 108 162
209 566 -305
505 427 -993
419 731 179
373 384 769
451 785 955
363 705 -497
437 422 -105
107 219 -110
367 277 -113
197 627 -850
227 996 -48
760 988 -235
874 111 461
634 424 -984
298 569 -651
679 725 -829
222 833 682
951 280 63
796 134 -454
685 454 408
208 616 350
404 646 595
376 577 -606
522 732 -693
917 240 242
173 920 499
929 407 -813
389 101 -704
324 190 771
933 927 375
378 171 -823
548 590 -714
285 339 781
76 365 -570
698 753 -244
847 935 418
737 505 -963
119 577 88
857 793 389
150 343 -335
288 495 630
659 563 401
898 910 767
47 367 220
972 874 883
195 7 535
986 33 -713
323 438 -159
728 108 -679
786 109 -781
799 553 870
633 675 933
21 857 -719
904 276 407
244 925 480
933 834 472
217 973 817
325 510 -904
669 251 89
99 748 803
648 45 -295
828 75 -200
364 746 -164
93 505 -125
221 226 278
899 141 -849
72 539 -728
302 844 -390
267 710 447
949 561 452
258 704 293
283 735 -251
653 751 587
202 249 -570
312 73 -12
328 729 -491
544 752 -328
239 262 207
717 612 986
135 477 13
79 814 851
856 840 -418
74 903 221
503 775 647
90 947 498
705 58 726
192 802 -865
506 559 -318
970 474 952
377 146 968
860 197 872
456 430 480
654 504 322
188 652 -974
751 632 -212
489 959 252
909 184 -518
848 716 -322
468 303 437
680 82 -700
193 202 -358
624 83 -797
307 969 -870
832 983 460
290 861 795
281 344 -768
437 271 810
529 225 119
914 225 451
891 665 -989
984 235 142
564 505 180
471 464 436
215 666 812
220 308 -730
296 262 -973
36 138 -648
968 985 -803
827 27 -630
695 37 877
640 505 903
630 187 -285
674 480 742
845 118 -380
930 846 160
516 835 213
748 904 -987
277 290 757
915 712 -767
368 888 359
577 666 -270
969 177 -805
918 820 577
443 844 -376
148 494 -403
65 848 -767
187 140 227
190 849 -710
940 185 267
920 295 -673
874 401 864
595 131 756
707 549 33
128 95 -222
998 131 81
913 545 -21
226 740 -966
20 405 21
5 852 407
257 12 -329
866 265 848
690 564 454
837 659 -271
18 743 882
581 407 988
611 984 -838
601 283 -79
4 795 -606
631 504 125
157 109 812
220 183 -481
835 856 -356
750 765 54
563 848 898
365 704 752
864 108 157
918 716 742
592 100 -287
518 826 -669
380 132 -403
323 985 -55
634 130 270
330 535 279
544 136 839
740 391 130
102 197 71
957 354 -767
874 921 -826
596 468 193
498 577 848
82 637 24
196 591 618
96 522 779
446 61 -530
950 564 236
371 967 777
573 426 -979
710 736 53
890 152 -934
709 484 188
753 230 627
422 187 386
102 56 487
820 271 -4
660 77 750
411 215 -606
303 801 818
541 629 -340
111 406 607
600 725 -48
761 559 198
373 48 997
488 888 80
701 256 -199
581 727 666
530 984 -190
506 5 763
503 719 -645
525 602 -649
640 785 904
387 503 -254
72 677 -204
220 296 821
893 930 780
803 781 -520
169 236 -636
184 465 -734
88 452 541
70 573 249
159 496 48
480 428 673
343 320 134
538 572 -46
251 868 440
306 8 -619
978 733 120
974 971 294
542 393 -622
839 996 365
993 820 140
920 45 -974
559 535 -968
100 357 -800
718 408 988
723 205 -989
766 61 346
750 417 272
215 355 664
242 782 -15
67 513 850
920 607 -439
981 243 -613
540 177 -768
937 218 215
511 265 -742
261 702 701
364 28 -261
634 994 703
69 411 -779
405 739 -788
231 28 -739
512 913 -388
256 880 490
156 290 -921
673 390 -205
66 788 -249
367 341 465
762 636 973
642 481 874
129 811 924
823 94 299
97 832 -223
761 159 413
959 342 858
211 340 -726
122 594 -836
750 69 -455
899 721 766
296 838 476
510 979 -539
62 124 362
901 72 173
831 700 -600
440 261 -607
345 469 942
596 370 -666
321 826 188
821 459 -908
24 534 -632
439 925 -734
922 787 197
178 230 -980
186 899 -902
125 54 667
653 910 887
295 671 -583
561 904 -632
296 274 -853
470 807 645
590 277 -898
562 630 -845
517 215 -449
901 69 -236
513 183 193
933 350 301
285 965 304
793 380 -1
490 23 684
964 741 353
530 76 7
120 526 -123
564 21 422
448 611 890
696 344 -38
234 878 637
64 585 -576
251 498 392
244 121 209
481 610 738
153 730 262
109 596 667
348 497 -987
386 711 556
403 980 17
405 397 608
953 975 841
456 75 -18
599 575 940
103 255 913
13 761 -727
134 319 639
728 354 -865
400 86 520
252 224 533
759 225 -606
695 705 -819
835 289 969
544 197 -644
393 730 969
327 5 75
53 565 -315
103 828 371
735 614 -283
387 679 -655
238 178 285
94 88 -718
170 493 319
371 893 -954
187 367 -127
361 507 -471
768 966 905
173 1000 760
118 881 -940
104 360 639
2 79 412
706 5 -208
228 335 -643
148 950 614
796 187 -95
793 505 598
478 431 293
966 936 -838
494 701 -695
183 936 766
293 885 467
450 44 -770
657 43 -879
311 155 -891
46 422 -165
182 853 976
246 438 195
575 638 372
396 827 -746
433 179 443
788 271 186
961 604 225
337 643 -109
162 140 -120
56 629 886
367 409 -800
93 765 887
28 544 336
306 450 937
384 457 207
499 920 74
65 458 9
634 45 319
595 149 203
436 727 -553
468 56 -345
540 95 -1000
263 212 -548
585 979 681
921 957 -454
193 707 836
151 455 -432
746 235 20
571 938 -670
407 15 -396
520 666 796
686 278 24
253 630 -46
804 117 162
951 381 649
973 808 980
754 830 -545
944 140 483
570 332 706
501 308 -600
183 242 906
167 342 371
27 485 -47
182 716 -239
107 636 638
46 591 -933
823 810 335
747 734 -218
662 417 305
74 222 -638
877 170 -278
389 352 -773
900 493 -630
11 989 21
355 769 96
383 701 786
645 700 -206
621 611 210
502 183 548
469 569 682
189 663 116
848 265 814
503 386 224
576 577 503
522 486 -58
213 695 83
570 859 531
385 20 497
134 703 -43
49 297 -49
88 648 -396
594 299 -107
375 631 -388
133 446 31
918 696 782
926 272 -815
500 640 220
730 526 -78
994 792 -881
97 560 876
241 251 -848
337 685 -709
14 682 261
462 575 639
201 427 614
815 183 186
157 417 -861
292 262 598
3 403 -817
661 147 750
211 817 -292
242 6 516
99 286 -41
342 923 -319
904 800 405
823 271 835
482 707 908
632 507 -331
511 330 876
494 51 417
409 160 978
521 654 -113
621 216 868
559 573 -653
169 596 -282
888 178 -586
38 738 783
750 544 404
651 598 952
237 251 241
655 102 978
327 838 333
531 903 -329
301 544 -490
925 231 -457
429 186 508
334 547 -711
624 73 358
610 967 -344
704 983 369
164 427 -495
734 245 -479
457 905 842
585 44 -954
421 397 -715
85 765 -267
684 725 340
795 588 -35
252 618 637
478 856 501
677 483 316
593 332 506
484 421 783
387 31 270
995 237 -205
641 849 310
725 582 -644
787 878 527
986 962 -87
407 22 -850
4 438 -724
942 738 257
938 917 -371
596 89 -330
994 308 56
492 984 201
655 649 -877
469 201 682
309 935 -950
936 311 -759
516 740 35
952 438 92
691 438 -11
638 805 219
451 353 197
282 280 61
751 596 370
343 763 -996
398 868 267
414 276 -366
939 436 -785
800 765 -141
726 686 388
611 353 239
136 763 363
946 176 -383
215 718 722
525 474 -541
29 404 -29
730 783 835
770 172 -281
865 711 905
562 347 851
819 762 -784
768 916 -529
492 331 744
744 639 -242
828 654 9
690 190 508
998 418 759
141 747 -307
81 872 -618
922 353 20
878 504 642
621 213 98
603 569 -736
100 121 788
810 506 345
631 6 -119
517 471 453
252 703 357
505 539 -947
136 107 -337
390 472 448
359 366 66
430 800 -195
658 925 181
442 190 -689
774 131 283
647 320 -730
508 42 566
606 957 -760
730 306 452
139 965 600
22 862 -625
807 108 800
712 977 -953
272 706 383
74 445 -83
599 941 -343
680 704 38
303 543 -504
657 105 -242
241 600 677
371 40 493
156 821 36
177 220 471
624 85 -623
752 571 -566
843 308 715
943 58 167
262 571 499
954 713 -808
121 462 80
461 841 -347
805 166 407
462 64 344
875 486 -454
268 605 -898
202 614 856
395 872 -548
247 769 -358
359 240 -706
761 480 717
435 344 904
813 765 -231
611 234 -90
794 290 -334
135 1000 -960
875 549 255
472 552 381
704 167 -277
940 826 623
711 564 28
240 273 -678
916 305 -526
374 357 657
972 223 -264
803 339 280
250 148 49
522 402 -841
592 351 942
455 871 -172
869 924 267
445 599 35
1 72 513
702 411 -103
29 73 660
658 554 -305
748 779 8
484 101 -714
302 97 312
221 948 758
322 130 780
663 807 229
412 421 -681
993 862 540
689 629 -85
900 196 -650
657 204 818
512 915 -459
344 816 793
123 559 632
574 530 908
892 986 -586
194 927 -717
552 29 -317
486 185 -139
443 1000 -80
762 812 352
133 638 214
503 523 248
726 653 -910
350 615 646
808 731 757
726 552 -150
195 250 730
50 637 289
277 237 232
93 948 -687
532 199 -856
22 750 -287
428 298 959
640 969 -379
497 341 -139
341 393 989
171 774 132
709 493 404
291 470 -773
963 515 -210
221 942 -144
872 163 -619
246 399 492
755 94 706
118 558 -619
728 16 213
86 83 977
795 551 -182
561 901 878
98 709 -282
623 210 382
205 626 -998
587 686 -266
273 753 446
657 281 -897
979 571 814
61 229 -179
562 589 -163
650 64 -451
788 941 121
649 401 -672
303 752 -924
767 277 -306
679 454 -513
798 517 616
511 931 350
105 335 860
185 745 -477
671 614 -896
866 782 -590
890 273 435
476 766 517
84 91 -748
30 775 -390
512 733 -958
455 935 -817
883 296 -9
925 895 -201
969 684 -181
316 499 301
50 124 800
112 314 -111
31 576 395
495 668 -80
609 517 384
336 117 565
831 11 83
826 403 505
726 506 64
884 759 458
305 516 -987
35 498 -340
124 979 960
386 207 865
230 725 -672
431 495 785
485 583 -535
403 834 -450
381 777 -925
251 317 156
834 395 -874
611 631 -235
310 34 936
582 123 404
962 722 861
198 3 406
888 176 744
263 675 14
384 208 -876
525 141 -638
414 53 84
289 108 580
533 530 305
557 929 234
273 911 -208
284 987 689
898 675 277
551 482 -573
582 904 -495
628 971 415
470 703 -231
155 938 -564
34 61 46
984 226 652
408 767 267
152 87 949
361 506 -972
235 213 925
472 668 681
610 126 -543
71 217 -187
864 792 878
663 688 -912
138 827 391
338 589 597
363 435 -854
200 926 -651
779 75 -245
543 886 969
276 60 442
851 612 -379
673 453 -873
66 280 -94
618 768 -601
470 219 -965
557 868 -441
896 634 -971
836 834 -503
875 847 -709
576 769 527
912 555 -624
468 705 -977
68 946 22
612 911 -264
257 666 -77
297 431 -794
923 814 748
817 490 -551
120 267 840
282 65 -534
107 286 -944
909 791 -377
324 729 874
669 838 -43
994 548 -726
247 516 -716
233 100 -219
413 401 72
267 545 -58
979 327 -373
230 92 -718
507 430 105
240 369 -140
321 461 510
472 912 -790
247 817 -336
699 146 -205
632 222 737
244 942 675
