10000 50785
8199 5633 791
3774 6876 811
5716 6819 86
4937 7104 998
9010 6714 719
4261 5810 499
7663 3802 503
2089 9335 302
999 6237 619
988 2589 883
4158 4191 222
6816 9962 959
9986 3035 340
976 8603 237
7122 7977 154
5677 8891 699
4362 353 738
5556 1138 889
991 1839 544
9968 537 808
8005 2035 589
3943 6013 550
8481 8772 9
3441 5441 560
1055 5960 170
1810 6502 885
243 6454 978
6488 1912 624
8345 3503 101
2993 640 957
6525 7925 78
5974 4994 881
9633 6083 122
8313 8348 182
9378 2335 549
7033 7483 805
7004 2068 116
737 7444 132
620 7231 263
1411 8144 72
9619 7570 550
7820 5119 245
5018 7883 277
544 7340 59
3717 2199 976
5543 4495 22
4576 9614 540
1160 9368 624
4276 7087 29
3263 170 650
6549 9316 369
5639 8575 410
4062 320 733
6948 2114 13
5979 7818 442
2937 809 831
7939 2405 102
5104 7363 108
4068 2625 801
6101 7096 732
1886 3449 945
7636 2244 915
5710 245 995
4417 4549 700
3756 4223 307
3666 6630 959
8906 6574 939
1037 429 843
9454 3353 275
904 1606 832
274 154 280
7312 5575 271
3875 7433 239
676 4056 451
4886 1765 318
8407 4407 900
7957 1934 586
8149 2200 343
2423 8565 898
3344 1796 352
1900 5112 421
1400 215 428
993 9487 953
6710 2820 772
7038 5441 650
6757 7593 790
5043 3903 91
2109 5170 174
8160 6503 340
606 1454 957
5049 355 137
4867 3393 695
3465 8136 198
5369 7322 441
2631 4242 327
1322 4428 680
5466 6403 434
3779 7045 349
8534 5385 188
6111 3358 865
6224 6983 283
3500 4590 69
8917 7241 769
4707 4074 310
6519 7092 84
1045 997 738
6521 5606 229
5474 7862 305
5726 2359 437
5983 2594 121
2657 5365 542
8447 5778 270
7093 4515 345
8087 8930 180
3818 3226 356
6562 2864 66
4135 9455 293
6327 7040 191
9925 9984 286
8226 9852 619
858 2832 633
9012 6886 818
8723 2836 83
7302 4051 209
1645 3764 919
9980 9748 632
725 9420 471
5208 7832 189
6958 5278 765
3005 6122 16
6014 4723 111
2594 3068 566
4230 1190 582
1952 3407 169
2015 5875 229
2667 5398 38
249 9942 12
4884 4163 990
8891 3839 123
3150 7483 990
4107 5488 821
7945 8756 422
2520 9262 253
3622 7499 267
9905 7347 208
4102 8358 255
7127 321 585
6128 1985 655
3145 461 112
4734 5542 93
522 2361 788
7287 3664 851
6496 4307 733
6047 1508 192
9565 4396 616
2431 7452 508
6179 5485 187
5440 2539 324
4414 2138 980
2932 5529 771
1832 9573 195
2356 1211 533
4127 1907 236
9447 8854 530
1878 788 876
7161 4836 434
1133 240 74
977 8076 220
826 2184 614
1381 2257 672
2275 7941 339
3410 6942 483
782 6411 717
2311 8148 242
2540 2250 986
7014 3846 420
837 1568 316
5549 2745 471
8315 3348 803
6960 6510 233
2832 7166 659
1805 7008 407
2748 4199 628
3677 6164 458
3151 3204 4
3834 3470 700
6237 781 943
5615 9889 28
2667 2939 356
6710 3085 817
3975 652 113
2781 564 284
98 4829 6
1882 7936 28
6070 2925 99
6362 1098 89
869 9634 800
8124 3840 604
3099 6224 232
2440 3803 381
5658 7774 880
1770 4782 868
8494 643 318
2679 3058 30
9224 8098 800
9525 9753 719
6440 8139 344
9139 7318 316
3798 7529 509
8466 4901 955
1119 7563 226
2308 1332 181
8098 7336 936
2900 6320 967
9957 5551 752
6821 6521 401
5597 1120 416
3992 4272 28
4230 7420 497
1513 3569 522
8200 4077 146
7673 3265 461
9461 7625 271
7187 6821 862
3378 4516 67
5514 5739 540
7605 8654 994
3309 7775 936
6902 1717 71
3598 2612 580
1967 2623 841
803 7947 671
1674 3062 664
9962 3072 379
3624 867 405
628 7513 768
3025 4550 299
9329 9214 565
4134 1486 779
792 5927 992
3320 9952 811
4954 3780 91
6350 7124 405
7353 4272 778
2210 1096 440
9480 9321 627
6390 3721 669
81 5616 204
3405 5904 909
2750 1872 913
6110 223 657
4875 8499 324
7910 6995 692
6850 6697 82
6769 5667 618
7351 3055 713
1287 4292 741
8908 6618 307
8734 474 218
559 2995 471
1139 6930 424
8491 6043 326
7969 6043 62
9143 3216 131
7392 5662 55
4824 3214 146
211 9785 894
4895 9580 680
3743 5585 742
6329 2717 176
4239 5665 111
9773 5287 563
4548 1565 190
4814 5930 898
3954 5101 333
3344 8825 762
2714 8506 703
4305 4957 140
8174 5765 321
5415 5257 706
3851 2325 178
7010 2390 9
9144 3651 216
5427 6940 927
3261 1983 322
6762 7175 594
2520 7030 246
6940 841 938
3059 1138 369
2541 6095 597
49 2219 680
2838 1854 209
3174 9279 405
9223 4361 65
9811 7835 387
2209 2943 723
5342 7916 257
7211 4561 876
6142 2765 589
2554 8567 357
799 3820 456
917 6783 140
2647 5873 842
5047 6933 584
7197 9452 517
7887 3311 856
1505 8486 352
7970 1156 941
731 5750 464
9182 2372 725
7453 524 230
7765 8636 273
3656 7802 477
7816 6869 566
4369 365 283
3582 1153 264
9210 4619 957
8265 9639 422
5546 1754 942
877 2878 84
3711 122 450
7579 3203 826
7878 8719 95
8269 8458 726
1072 350 413
109 9388 426
1805 4211 670
6942 8092 174
3238 7729 847
4048 165 956
5579 3359 902
396 1914 186
2694 9966 969
9093 3244 801
436 4303 788
3832 1976 682
9452 4457 598
6144 8379 152
7846 8638 443
6585 1579 43
7429 5756 128
58 4339 726
2227 4885 649
8961 2346 430
740 9518 642
3728 5143 242
4475 5287 228
7554 8852 469
3588 6324 348
3654 4132 792
988 3189 223
8611 1099 579
5106 7532 371
2590 4184 852
7304 8891 715
5018 1686 232
6725 7644 532
3852 5321 949
7135 2748 997
657 2778 757
5025 8714 214
5390 9929 400
542 5417 904
5931 1416 703
6924 4878 611
2879 9542 912
4818 4797 954
109 1556 910
8819 2882 854
2159 2694 135
5121 8479 407
7578 9487 616
4832 4512 546
9225 9251 724
6740 7476 821
9352 5113 528
4511 8580 149
2907 2651 896
9455 722 351
2352 8719 253
1241 2155 884
7010 1177 16
8929 6129 97
2432 6126 959
4998 5013 611
3587 1017 779
8510 3719 465
2215 7956 535
3885 3022 407
5054 6896 73
5451 1386 867
3476 3952 393
2683 5872 682
2929 987 386
5678 2017 396
8102 8896 551
7422 7885 290
25 4903 272
2307 7662 266
4684 5221 172
1472 6650 981
8581 297 395
4515 4342 338
5109 1786 760
7003 1921 240
8588 1673 880
4299 9449 263
1355 7659 144
1428 6357 800
7855 7655 331
7197 7493 740
916 1070 77
5470 6466 766
1954 8616 189
9248 5800 669
853 9843 976
9670 5814 388
4487 7863 64
4976 8012 358
4572 2457 344
8918 2675 247
664 3143 852
6102 1034 366
2310 6383 734
4866 5748 927
2430 3447 619
5187 4702 815
4918 8201 6
2698 5015 551
4602 7724 950
2979 2599 353
2558 8719 692
3917 8916 865
6162 6373 16
5854 9344 257
8831 9711 641
4612 8684 889
727 7735 974
7439 4941 370
1600 8760 515
7696 7611 741
2085 8039 357
7325 2059 703
7449 261 959
8710 8336 684
9870 6192 908
2088 4692 833
1491 195 662
292 9506 713
7973 7834 889
2615 5259 916
8800 9508 869
2281 6729 10
9047 7156 780
806 2434 861
3204 8162 973
2621 820 722
7189 9485 654
9157 2731 933
9336 6546 711
8996 5544 64
3886 7313 527
5269 644 353
3234 6058 288
2536 744 846
7873 412 669
8977 1716 750
1856 2875 100
3680 9132 904
7654 4214 121
3008 4761 364
9165 4343 235
2603 7862 460
9260 4026 503
9451 6072 97
3389 7722 363
971 4917 670
7030 2743 202
9226 8045 868
3354 9893 357
4847 2060 388
1602 4640 693
6917 9064 853
491 9830 690
5787 5371 597
517 4749 670
624 1168 630
1733 504 798
4627 366 871
7390 9584 120
119 9708 149
7998 6405 32
5842 2308 292
3309 892 669
2812 879 809
7091 3208 695
114 9967 811
6723 8204 825
2911 2743 304
5995 6822 795
6863 438 670
