414 755
276 318 580
196 272 295
328 43 381
163 115 643
379 159 968
165 333 903
221 51 537
194 368 818
385 33 413
235 259 701
321 193 696
237 178 820
163 196 436
203 381 887
353 150 941
407 309 788
66 13 445
17 44 870
159 127 35
138 118 8
410 248 445
123 57 388
33 367 839
89 383 583
88 284 615
101 92 593
171 55 995
393 143 327
104 323 54
166 332 209
128 379 893
64 327 219
279 111 693
120 83 168
295 37 332
17 65 519
209 399 794
173 319 13
99 224 337
407 196 565
140 360 927
182 296 608
257 411 992
154 331 570
255 235 185
5 373 248
131 39 474
147 318 944
184 185 605
354 185 937
202 35 756
2 281 316
355 231 867
352 128 575
255 121 337
407 110 50
302 66 393
11 26 140
128 73 340
119 300 574
256 404 410
379 407 168
75 165 399
177 307 231
198 229 166
226 239 381
56 239 492
141 10 107
38 306 322
361 330 419
95 329 354
169 322 909
348 244 332
272 326 960
286 12 961
84 123 968
357 91 690
319 219 44
187 175 881
100 45 466
42 163 951
207 353 346
274 337 941
300 55 149
243 73 22
372 357 653
378 278 982
257 102 712
227 48 710
141 254 193
385 319 36
368 135 560
87 285 480
196 241 286
47 263 901
287 99 796
229 19 105
176 349 829
350 250 715
302 20 990
231 400 497
196 109 500
412 392 693
32 154 170
101 379 715
330 270 502
238 70 917
222 70 410
307 190 832
110 277 374
240 6 723
253 190 304
318 205 897
394 26 185
31 306 407
21 201 711
45 74 56
36 101 914
294 33 354
112 284 840
280 354 780
183 188 912
284 2 603
51 83 450
16 391 685
333 284 20
362 65 996
326 387 644
354 209 436
377 273 77
311 197 349
64 323 244
260 92 81
314 332 71
333 17 594
271 278 539
213 48 505
171 124 486
222 128 861
410 10 470
49 37 694
103 49 613
357 39 289
107 275 972
322 359 792
182 265 701
103 270 837
123 189 140
90 333 208
5 399 650
4 271 871
204 265 86
251 335 785
138 122 656
127 370 792
97 34 698
135 77 635
232 43 146
52 25 238
399 258 171
186 196 739
69 28 82
290 155 917
368 355 488
115 414 188
195 326 281
138 62 887
348 66 717
142 409 905
371 163 444
396 21 405
95 31 882
293 117 739
266 35 52
117 369 505
31 24 928
358 260 139
202 132 115
342 117 25
162 286 760
66 221 141
195 402 492
212 201 488
220 46 379
337 201 667
150 90 653
56 129 558
129 134 758
53 314 626
21 107 189
340 401 661
282 73 212
205 28 934
185 249 628
45 279 829
244 85 881
393 40 225
36 17 696
29 214 10
85 213 513
306 340 715
372 39 857
214 305 254
300 125 101
350 323 187
43 132 196
256 120 841
230 220 245
133 268 865
68 302 215
387 85 619
308 71 789
331 400 348
249 351 689
389 24 196
120 3 908
226 361 814
380 236 484
408 228 836
107 191 904
107 331 121
32 141 777
90 111 519
409 205 517
132 350 756
14 307 437
76 75 206
281 316 557
391 139 577
139 245 961
406 376 569
5 401 169
216 396 694
233 285 570
104 227 861
263 227 402
173 187 876
60 345 561
93 288 750
245 258 416
75 339 780
340 186 387
285 408 633
341 181 708
388 139 539
187 51 170
56 188 423
34 251 656
156 216 924
128 136 107
24 115 567
23 321 2
374 231 161
178 255 882
97 109 370
390 104 919
292 213 645
260 302 46
72 28 631
152 149 250
301 102 888
117 252 749
15 290 658
327 266 179
10 315 430
156 138 447
345 372 604
176 110 413
268 339 461
81 165 574
245 203 25
107 356 464
11 19 738
160 344 755
305 58 741
356 215 729
95 25 951
161 228 115
130 158 362
170 94 139
104 365 277
365 159 156
398 60 251
122 62 222
92 337 174
10 374 135
322 160 580
18 194 751
329 244 309
102 37 742
315 157 300
114 15 183
214 368 827
308 280 787
123 278 877
16 29 831
76 348 496
166 227 441
298 64 343
303 281 611
384 226 809
362 124 281
66 327 636
78 89 529
2 155 485
315 246 201
88 114 475
309 75 29
38 325 93
372 317 798
33 184 129
112 332 456
245 162 221
30 392 48
100 71 240
14 2 495
283 8 671
59 159 67
290 249 302
406 381 924
57 139 281
64 35 709
71 25 375
192 19 346
261 325 984
333 282 916
90 334 476
42 149 375
141 266 395
196 216 136
277 248 25
398 200 120
80 239 776
99 312 871
306 281 405
256 361 960
376 98 815
401 179 230
69 3 699
107 2 778
377 264 559
11 226 615
314 378 508
227 279 892
159 223 276
8 111 19
165 233 370
26 9 179
236 354 499
149 264 467
145 135 152
28 119 605
409 163 281
219 282 786
227 305 792
140 137 719
83 250 213
171 209 287
160 94 914
383 389 508
234 254 320
403 266 121
63 273 952
385 352 413
338 184 172
113 76 858
16 185 178
31 411 859
319 375 523
193 303 946
283 208 626
219 368 485
325 300 985
72 223 668
400 28 202
94 279 296
330 173 75
297 41 575
244 312 447
355 381 281
276 196 72
413 123 163
116 410 58
339 371 294
322 184 934
319 115 758
39 304 136
341 324 835
15 270 878
219 90 217
144 90 14
71 382 649
245 201 692
212 298 687
380 349 38
214 403 841
90 350 338
270 103 948
259 31 825
275 191 469
374 393 191
66 270 7
169 367 457
321 214 548
43 313 600
303 218 534
309 156 753
286 267 808
363 252 915
219 302 703
62 334 401
192 246 505
128 95 868
281 257 753
395 199 389
351 188 962
184 74 946
154 327 550
71 179 144
33 329 473
403 320 828
243 298 338
354 184 501
358 158 6
226 300 897
51 206 221
187 407 641
365 78 987
34 392 563
159 391 456
219 191 844
397 163 671
49 107 918
327 64 450
257 3 138
213 175 774
158 103 163
361 310 737
247 30 146
30 394 223
61 95 528
334 395 263
171 402 938
60 334 969
74 214 970
384 68 374
32 153 717
268 13 429
360 259 932
193 119 271
207 134 662
160 395 795
50 1 63
154 396 918
56 277 440
112 251 290
184 48 940
267 211 988
175 68 855
377 83 617
28 11 758
291 11 250
16 162 97
265 206 327
233 27 753
158 159 794
71 223 516
391 383 140
365 19 796
242 23 710
24 375 364
272 308 239
103 111 833
391 307 161
58 33 471
309 384 560
276 283 671
375 139 585
80 279 842
28 177 252
329 385 288
233 27 375
379 37 207
144 48 330
163 59 692
77 181 435
367 186 808
236 49 415
75 257 735
53 157 519
172 358 809
98 88 69
313 263 262
283 262 385
279 162 563
50 92 768
34 65 181
402 360 673
245 61 72
59 113 968
336 15 262
125 67 656
23 179 546
139 197 315
164 353 122
24 375 860
114 184 451
38 64 425
320 365 430
167 99 72
57 365 19
280 285 24
144 291 524
228 116 355
87 411 143
399 205 542
256 133 279
349 385 335
311 200 244
49 107 273
337 80 62
236 43 77
386 98 761
150 268 938
95 399 128
42 292 638
150 410 179
1 244 280
246 265 929
15 18 917
408 170 62
330 319 108
162 372 346
126 132 282
44 54 154
236 132 437
123 330 352
384 315 241
408 180 489
157 356 165
53 140 226
241 331 991
313 89 473
318 368 884
290 219 528
299 47 366
351 138 558
311 15 388
107 20 447
52 75 713
166 101 79
15 17 315
202 44 294
310 118 959
83 287 961
192 182 610
144 154 616
233 278 100
406 12 332
32 62 10
236 312 648
182 176 692
316 217 962
372 138 961
381 312 508
326 286 35
364 203 733
258 149 818
116 381 821
220 281 784
15 329 151
348 83 462
27 404 317
123 158 614
355 309 306
1 206 310
64 332 358
243 80 332
252 348 7
218 83 465
200 393 537
291 268 718
301 105 408
59 381 187
290 152 492
171 284 39
244 145 919
191 205 674
169 116 729
88 257 326
84 377 263
129 306 220
165 330 603
275 19 600
16 349 651
269 369 932
69 346 926
367 200 903
82 365 998
88 319 386
198 189 833
20 155 366
229 411 855
364 308 555
283 358 512
397 334 15
255 407 921
390 12 497
123 241 779
60 305 452
214 368 367
163 186 775
172 359 126
62 211 447
356 218 250
10 251 162
310 86 441
332 124 192
113 293 679
370 334 999
147 171 154
394 340 361
259 123 215
107 359 324
327 303 811
352 120 718
81 57 390
331 174 618
10 334 213
375 297 52
185 399 318
338 30 374
388 296 91
75 308 285
318 164 488
55 249 324
377 197 439
256 83 457
351 141 712
359 277 447
193 234 699
345 55 866
4 332 28
388 279 642
98 310 360
359 269 525
109 312 684
226 68 81
161 303 159
199 387 294
293 151 212
354 51 922
286 273 181
40 43 731
381 288 615
171 219 797
23 380 793
50 290 650
379 325 84
138 343 107
129 109 780
86 5 929
38 126 852
4 364 662
147 218 664
282 339 843
81 106 654
327 77 606
214 49 771
116 160 733
