2316 7047
1110 1199 212
261 15 544
206 611 365
2111 726 817
44 2030 367
1972 1987 558
1056 831 423
2038 893 454
2050 1807 624
1098 1123 438
1296 1768 572
1676 1077 850
1964 721 276
743 1047 832
1832 1756 675
2101 94 47
1025 724 625
450 2303 431
1530 830 72
1437 983 923
2151 1342 519
10 1988 585
1712 1293 836
484 203 557
1142 1487 250
1163 1571 586
1723 579 323
2064 952 11
36 1668 791
535 1489 885
1528 1840 711
71 2155 12
2181 1889 704
242 802 255
1778 617 633
1574 871 940
470 2034 965
727 1343 572
1690 2137 64
2236 1308 764
358 524 778
1052 440 156
1631 1301 146
399 1444 415
162 147 387
248 393 174
1570 1599 327
1655 240 36
300 1308 940
1268 1934 458
181 1719 355
1488 307 273
1382 1533 709
1289 1980 290
2202 1052 177
1574 290 289
999 1679 560
969 426 204
2006 2042 148
1508 1625 35
1687 336 626
1685 2154 876
2255 335 794
1485 91 785
1952 292 487
1423 2297 546
917 1131 520
2157 430 103
205 1929 444
1263 2038 308
2095 2126 99
1273 560 910
1839 478 18
1018 1581 714
1047 411 204
2201 830 704
908 653 922
69 1725 676
2194 1872 342
175 275 524
320 2165 896
278 631 174
557 1522 934
1200 1393 551
2074 1005 535
2040 1775 396
1374 1154 33
1410 801 729
2251 1339 85
2164 415 556
860 1714 579
360 102 484
2202 1545 844
670 1969 419
2071 1482 626
493 2007 912
465 1735 206
708 1645 268
1766 288 22
1976 120 156
2188 1911 903
1219 551 13
191 1617 935
1826 89 2
1503 1005 950
2136 12 46
1222 141 17
58 1595 822
509 1256 221
1538 1347 121
1572 1756 211
1153 2045 74
78 378 37
974 586 640
2089 356 953
258 1015 667
1203 495 250
61 1959 858
461 1846 964
407 2207 448
1148 1902 340
477 429 954
1746 1636 322
159 1549 910
1378 992 924
592 1021 669
971 1923 12
1487 2286 211
1620 2121 926
2098 868 39
1258 972 145
1282 1582 24
2286 1283 753
1684 288 524
587 337 589
862 1726 807
675 1571 809
419 1671 419
1288 1658 699
1834 438 398
1820 1253 566
1603 552 409
391 899 222
1104 433 949
512 1831 271
1183 995 127
128 785 660
1182 374 376
652 1514 363
768 289 432
982 824 959
1212 1177 993
559 2077 171
1730 7 407
1937 1303 269
1477 1655 739
255 2041 967
1579 1281 281
2130 849 256
107 924 341
2002 1936 33
907 1599 957
782 2020 636
589 1138 753
1972 1133 820
1607 352 851
1524 2058 227
1425 25 506
873 501 804
789 1024 787
1402 1119 93
1561 541 863
97 395 13
987 1072 317
338 1066 739
1546 846 610
1423 1040 562
736 1489 26
1474 2042 306
1523 197 46
1573 1770 525
2116 1299 738
724 2039 446
1809 1787 394
2145 811 585
1367 1227 134
1696 2281 245
1841 2307 893
1854 2036 893
1617 890 691
1577 1012 162
1141 438 801
1646 2056 831
43 1128 197
82 722 995
1646 1260 249
1392 1152 807
1336 2191 977
1054 1946 423
791 1627 195
1588 1498 643
40 834 776
833 1902 425
600 2028 633
2196 473 195
953 2005 310
2066 1476 656
2057 2106 57
1543 1391 252
1511 2129 805
1437 804 567
979 109 446
1647 1893 621
1714 1578 659
2296 649 953
1113 2163 600
1058 1893 832
1074 398 67
523 810 500
819 1629 92
486 2008 424
875 747 407
147 1461 83
100 863 807
654 1844 192
1377 2225 493
1844 2128 996
593 1248 584
309 126 519
2080 101 130
826 739 706
1876 2118 722
1789 836 832
1392 1640 764
1875 220 683
1574 2236 613
1201 1068 974
1357 1836 361
563 675 249
1607 1257 817
411 1157 242
276 1059 237
1306 891 422
1 1365 784
708 1706 974
867 1182 555
1146 69 518
404 1882 639
681 1383 263
1239 747 141
1623 262 47
692 1955 302
1811 584 188
1847 808 977
1463 1728 965
819 347 15
955 1290 127
1982 1059 496
1075 1995 540
175 2047 5
1792 514 259
1070 1027 310
984 781 476
43 1265 226
2271 686 850
424 311 353
350 176 961
1989 1644 924
2091 1265 533
1703 1472 3
922 539 886
232 2256 202
1565 363 245
1080 2116 82
499 1661 907
775 1138 377
135 339 815
299 745 49
1831 1002 667
1087 209 485
1509 156 854
1614 1586 667
1940 1834 990
1615 1146 428
2284 640 810
729 318 132
996 1374 855
2123 2139 285
1529 1893 900
86 1461 943
109 1956 225
405 1017 184
48 693 702
2242 351 922
479 358 43
762 2281 310
1898 1553 872
2045 144 424
1231 807 972
934 1663 650
417 1414 987
613 974 316
1793 1474 145
2163 489 223
2012 657 265
1455 1142 753
560 1189 84
656 154 751
1967 686 44
930 1355 76
588 1124 816
1959 441 263
1323 43 504
1226 1587 525
133 443 552
879 1302 577
74 2219 860
1305 205 696
416 759 577
1384 540 26
2118 1276 601
484 2303 43
740 917 309
1981 1677 470
357 1960 922
268 2283 199
806 911 852
1997 565 422
754 823 744
404 1759 547
750 1726 0
165 1257 756
633 573 529
1393 181 420
1012 349 554
108 594 384
1711 1151 415
1166 811 367
848 140 703
1808 1507 827
32 1233 711
1814 1946 990
400 586 131
1180 600 271
1075 147 472
106 26 158
1464 2044 105
2256 1934 537
2262 313 175
35 593 860
436 562 409
1706 1971 894
933 1562 593
417 281 310
267 1199 401
53 2263 402
718 1047 773
952 1735 999
2100 560 482
2112 1429 499
1011 1624 170
297 18 232
1510 1122 628
1274 1717 174
44 985 63
805 592 332
1529 1757 787
1478 1214 617
2104 2179 294
2217 1706 187
2164 1470 28
744 1111 167
1512 1731 357
1452 1245 904
2242 1619 147
1653 1884 352
460 1872 33
1245 625 832
577 1348 919
1698 1452 153
962 2070 878
2004 2294 301
162 1363 781
1108 1531 890
1362 2252 235
356 66 248
27 193 641
80 2128 358
62 103 533
77 1954 391
1834 1288 380
204 132 441
1816 644 245
795 1363 131
177 1303 724
1478 17 812
133 783 359
2164 1254 373
800 1625 613
2252 1917 294
200 1216 820
541 2299 347
419 1223 891
2041 1514 683
626 963 426
827 2084 494
1795 1297 214
2068 1677 487
1327 1047 660
1440 749 826
374 1273 220
2237 213 455
1758 1128 925
1948 400 457
89 2269 241
2020 1832 524
1372 1461 452
1394 1921 178
1566 1217 511
505 938 303
232 1417 461
155 496 279
1482 1791 549
1883 1853 296
2053 2009 456
573 1306 136
1762 189 736
2125 1229 764
2034 373 319
2246 2205 606
905 201 757
1562 1123 867
549 1217 780
1469 936 720
1062 1973 11
1646 219 513
849 368 388
819 557 34
1856 2190 490
1516 1700 661
1844 199 121
1236 477 731
785 324 470
284 843 997
733 841 397
951 614 273
273 781 227
1535 1379 529
1704 2297 821
1190 2246 880
1708 899 25
1848 544 800
1841 778 618
2047 193 335
1265 1841 987
1205 2253 501
1577 2296 313
1746 1619 197
2132 1712 180
321 1476 59
1604 1382 556
638 541 333
1109 945 713
535 1928 425
1086 1805 877
2172 856 479
924 138 576
647 161 33
1286 93 54
1507 2288 571
889 1651 863
703 523 165
2189 1910 800
1895 2093 408
307 2043 473
200 1409 756
651 560 870
225 2039 288
681 175 305
1086 521 979
1703 1019 261
1186 187 132
1779 1962 695
488 455 495
26 887 486
1040 1160 795
2165 953 496
748 2227 822
1954 449 900
1520 1639 290
1700 1902 333
1839 461 148
9 2019 125
1782 324 338
647 65 570
2200 976 803
1671 297 646
954 344 667
1634 887 594
1345 436 49
357 636 699
893 889 797
835 639 517
1410 398 690
2042 1470 826
1021 818 628
2097 905 52
276 723 276
1249 2237 943
182 1893 664
1463 2286 801
1727 1806 517
355 2033 683
837 2084 170
353 1925 105
1131 791 379
1496 457 75
1880 1728 291
1800 1033 106
2081 1387 717
655 1763 94
955 481 150
1285 2063 676
619 1119 680
1188 2028 553
401 1751 204
733 2006 533
178 1244 646
38 531 226
335 1012 551
2249 887 918
2093 964 296
936 1550 295
471 733 767
2299 725 266
19 1422 617
895 774 693
1091 1018 857
1680 1379 400
567 272 444
1323 1661 225
1283 1428 568
1122 1686 126
578 659 981
1049 706 918
777 1765 657
629 1332 560
119 1041 157
191 1041 690
