1000 5769
448 866 -9059230
505 684 6460211
197 238 1513551
402 763 -1822956
697 855 -8687391
815 282 1855645
266 203 -7439142
138 607 -6018158
699 34 8397242
865 622 1163427
127 241 -1526737
880 985 4767251
334 914 -6250333
191 993 1054887
896 572 5134492
374 508 -1953781
260 899 -5943749
415 999 -3000665
122 143 9131400
724 843 -5151119
315 802 -2007754
932 497 2121422
448 256 7809947
610 224 2946859
300 26 5151935
899 939 86807
582 847 -726577
85 965 4471169
669 149 5640272
861 944 2883253
438 248 1959178
435 772 5869905
268 705 -7944380
936 665 3453117
560 890 1715686
688 419 4921812
370 176 1993448
502 898 -9708326
74 539 -761163
536 574 8630175
922 196 955554
7 569 9973535
931 980 -5133335
810 839 7958155
317 479 9117919
923 874 -4474743
193 231 340779
859 55 4843794
268 323 -4672805
164 893 3410210
837 753 8142827
203 963 -9433125
247 550 -3344163
828 502 -7557105
549 15 -2005625
245 69 -6954788
179 365 8684771
513 480 4894191
351 556 -1080583
95 480 -3140594
826 338 -1287873
481 310 4881198
751 381 -9409392
272 566 -934790
63 351 -3955401
448 568 -5121496
745 737 5212800
445 27 -3289306
335 801 1447311
262 571 -2140854
565 914 -8854062
808 460 -4670025
264 849 3556979
223 493 5304472
490 95 -5716615
724 888 4562636
446 817 -6558430
708 107 -2299474
567 13 -6475597
754 870 1637834
775 112 6570094
700 494 9506857
310 729 1537018
861 779 -6224631
989 535 3346422
475 258 -5322981
699 959 4440560
216 740 7633367
48 637 7945549
561 791 -2080927
892 483 7311986
454 532 6662966
396 42 -2814802
424 638 -7190913
633 901 984363
426 321 2307387
925 714 -9720875
650 230 -2084903
153 472 4987530
179 462 -1338508
888 134 4750577
363 472 -881394
91 465 1463543
871 145 5656925
128 302 -8402985
815 118 -4409746
68 626 7884351
550 204 4199234
794 254 -2288466
86 149 4551530
56 315 2660057
390 7 -2394115
440 46 8965556
538 537 9854491
902 374 -7692555
918 756 -6708686
659 49 4399590
159 664 4280566
52 180 9742483
138 59 1996515
452 517 -3086254
211 291 5960942
889 672 3635350
497 458 3727288
707 247 9950559
453 163 7311312
96 289 -2702232
517 54 -8125028
489 539 2409597
418 178 7141083
163 927 1487914
982 371 -559980
869 518 -7626661
452 210 2169814
482 106 -8577531
138 431 5996947
180 384 4620487
860 729 -6425741
337 755 -4143645
967 682 -8074959
828 363 4487767
248 418 -2069472
401 80 -2273674
459 662 -5973653
365 831 7097481
641 407 6471857
